algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.088091840357887,5.878887176513672,0.02051520347595215,5.85837197303772,,,,,,central,,0.7125083333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.986351090429901,5.653242826461792,0.020784378051757812,5.632458448410034,,,,,,central,,0.7074666666666667

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.122119372577737,5.781913757324219,0.020827770233154297,5.7610859870910645,,,,,,central,,0.7298916666666667

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.0560179290430955,5.8359761238098145,0.021486759185791016,5.814489364624023,,,,,,central,,0.7091916666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.907807851456333,6.503335237503052,0.02170395851135254,6.481631278991699,,,,,,central,,0.7978583333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.065863283268877,5.721431016921997,0.016939401626586914,5.70449161529541,,,,,,central,,0.7301916666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.026734339824659,6.4725022315979,0.03174233436584473,6.440759897232056,,,,,,central,,0.7349416666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,80,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.100959980011523,6.060578107833862,0.025464296340942383,6.03511381149292,,,,,,central,,0.7306166666666667

