algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,k,notional,leverage,barrier_stop_loss,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.10174069001482497,0.4978044033050537,0.25061464309692383,0.24718976020812988,,,,,,central,,0.8307666666666668

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.09575485859471822,0.5195324420928955,0.26990461349487305,0.24962782859802246,,,,,,central,,0.8345222222222223

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.08923469871681047,0.46675586700439453,0.24459099769592285,0.22216486930847168,,,,,,central,,0.8019333333333334

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.08647252438864866,0.5111682415008545,0.2686948776245117,0.24247336387634277,,,,,,central,,0.7633666666666667

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.09738790220144589,0.39716053009033203,0.17975854873657227,0.21740198135375977,,,,,,central,,0.8203444444444445

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.09203809759173444,0.505079984664917,0.24729347229003906,0.25778651237487793,,,,,,central,,0.8016111111111112

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.10471257492314383,0.4329714775085449,0.17784929275512695,0.25512218475341797,,,,,,central,,0.839988888888889

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,0.5311083793640137,0.2562448978424072,0.27486348152160645,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,0.46793222427368164,0.18957042694091797,0.27836179733276367,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,0.528313159942627,0.26209139823913574,0.2662217617034912,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,0.4815816879272461,0.22544550895690918,0.2561361789703369,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,0.5174121856689453,0.26017165184020996,0.25724053382873535,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,0.395841121673584,0.1708528995513916,0.22498822212219238,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketLongStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.5000000000000004,0.5260365009307861,0.25639796257019043,0.2696385383605957,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,0.4897432327270508,0.2295992374420166,0.2601439952850342,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,0.5245852470397949,0.26243090629577637,0.26215434074401855,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,0.4779071807861328,0.20259499549865723,0.2753121852874756,,,,,,central,,0.11111111111111113

