algo,model,payoff,drift,risk_free_rate,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RLSM,BlackScholes,BasketCall,0.05,,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.3975553911083605,46.45583772659302,40.69422006607056,5.761617660522461,,,,,,central,,0.8649960000000001

RLSM,BlackScholes,BasketCall,0.05,,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.39209991322033,46.13604998588562,40.48729467391968,5.648755311965942,,,,,,central,,0.86027

RLSM,BlackScholes,BasketCall,0.05,,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.423019114106904,45.71952199935913,40.170090436935425,5.549431562423706,,,,,,central,,0.863626

RLSM,BlackScholes,BasketCall,0.05,0.05,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.443359793938511,44.656688928604126,39.55945038795471,5.097238540649414,,,,,,central,,0.896872

RLSM,BlackScholes,BasketCall,0.05,0.05,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.285800238049594,45.733513832092285,40.23304343223572,5.500470399856567,,,,,,central,,0.86346

RLSM,BlackScholes,BasketCall,0.05,0.05,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.230583502374515,46.39169478416443,41.19400715827942,5.19768762588501,,,,,,central,,0.8459160000000001

RLSM,BlackScholes,BasketCall,0.05,0.1,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.180297993016015,45.97932243347168,40.336761474609375,5.642560958862305,,,,,,central,,0.878556

RLSM,BlackScholes,BasketCall,0.05,0.1,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.107338282603511,45.01161050796509,39.83120918273926,5.18040132522583,,,,,,central,,0.861072

RLSM,BlackScholes,BasketCall,0.05,0.1,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.127466884130181,44.5681471824646,39.35311675071716,5.2150304317474365,,,,,,central,,0.865064

